Customer_ID,Order_ID,Purchase_Date,Product,Quantity,Sales
C190,5079,2025-04-07,Tablet,4,62288
C136,5080,2025-04-08,Mobile,4,58359
C188,5081,2025-04-09,Keyboard,4,23366
C179,5082,2025-04-10,Keyboard,4,10325
C182,5083,2025-04-12,Printer,2,43569
C194,5084,2025-04-13,Mouse,3,63845
C117,5085,2025-04-14,Mouse,4,43424
C131,5086,2025-04-15,Monitor,3,49196
C139,5087,2025-04-16,Tablet,4,8309
C115,5088,2025-04-18,Mobile,1,41855
C163,5089,2025-04-19,Keyboard,3,74765
C182,5090,2025-04-20,Keyboard,3,45450
C107,5091,2025-04-21,Monitor,3,27421
C179,5092,2025-04-23,Mouse,1,33283
C198,5093,2025-04-24,Printer,1,69198
C178,5094,2025-04-25,Mouse,2,58945
C153,5095,2025-04-26,Printer,3,65458
C197,5096,2025-04-27,Mouse,3,15147
C191,5097,2025-04-29,Mouse,3,6050
C156,5098,2025-04-30,Mobile,1,64683
C180,5099,2025-05-01,Laptop,3,52907
C179,5100,2025-05-02,Keyboard,3,70283
C185,5101,2025-05-03,Mouse,1,25117
C162,5102,2025-05-05,Laptop,1,46353
C117,5103,2025-05-06,Tablet,2,53493
C120,5104,2025-05-07,Laptop,4,9908
C121,5105,2025-05-08,Mobile,3,51265
C115,5106,2025-05-10,Laptop,1,49900
C166,5107,2025-05-11,Keyboard,1,40907
C129,5108,2025-05-12,Laptop,1,5092
C155,5109,2025-05-13,Laptop,4,47023
C140,5110,2025-05-14,Mobile,4,32845
C177,5111,2025-05-16,Tablet,4,57840
C197,5112,2025-05-17,Mobile,2,18170
C170,5113,2025-05-18,Printer,2,4751
C170,5114,2025-05-19,Tablet,3,21162
C184,5115,2025-05-21,Mobile,4,31341
C174,5116,2025-05-22,Printer,3,68862
C103,5117,2025-05-23,Printer,2,73152
C119,5118,2025-05-24,Printer,4,19306
C192,5119,2025-05-25,Tablet,3,62487
C172,5120,2025-05-27,Mobile,3,55908
C113,5121,2025-05-28,Tablet,3,17933
C140,5122,2025-05-29,Monitor,4,36942
C109,5123,2025-05-30,Tablet,3,45728
C103,5124,2025-05-31,Monitor,4,79623
C165,5125,2025-06-02,Keyboard,4,59158
C130,5126,2025-06-03,Laptop,3,26271
C175,5127,2025-06-04,Laptop,1,46990
C154,5128,2025-06-05,Printer,3,60991
C185,5129,2025-06-07,Printer,4,69185
C173,5130,2025-06-08,Laptop,2,15342
C121,5131,2025-06-09,Tablet,1,27019
C185,5132,2025-06-10,Laptop,4,69737
C107,5133,2025-06-11,Tablet,4,25623
C194,5134,2025-06-13,Tablet,4,24776
C117,5135,2025-06-14,Mouse,4,34959
C130,5136,2025-06-15,Tablet,3,24646
C104,5137,2025-06-16,Monitor,2,2545
C135,5138,2025-06-18,Monitor,3,35223
C141,5139,2025-06-19,Mobile,1,28877
C116,5140,2025-06-20,Tablet,1,38329
C160,5141,2025-06-21,Mobile,3,66404
C134,5142,2025-06-22,Keyboard,2,67177
C177,5143,2025-06-24,Keyboard,2,77520
C123,5144,2025-06-25,Laptop,3,35886
C121,5145,2025-06-26,Mouse,4,22250
C163,5146,2025-06-27,Keyboard,4,53647
C114,5147,2025-06-28,Monitor,3,79186
C122,5148,2025-06-30,Tablet,1,64938
C185,5149,2025-07-01,Laptop,1,34349
C148,5150,2025-07-02,Mouse,1,25176
C148,5151,2025-07-03,Keyboard,3,52710
C165,5152,2025-07-05,Monitor,4,12604
C126,5153,2025-07-06,Laptop,4,7000
C181,5154,2025-07-07,Keyboard,2,79830
C107,5155,2025-07-08,Laptop,1,74420
C169,5156,2025-07-09,Laptop,2,71479
C128,5157,2025-07-11,Mouse,2,47588
C156,5158,2025-07-12,Tablet,4,28014
C170,5159,2025-07-13,Keyboard,1,42994
C178,5160,2025-07-14,Mouse,2,36557
C124,5161,2025-07-16,Keyboard,2,27982
C142,5162,2025-07-17,Keyboard,3,2389
C172,5163,2025-07-18,Printer,2,39370
C182,5164,2025-07-19,Printer,2,40339
C154,5165,2025-07-20,Printer,1,39783
C195,5166,2025-07-22,Mouse,2,73079
C182,5167,2025-07-23,Mobile,3,75454
C101,5168,2025-07-24,Tablet,2,24035
C125,5169,2025-07-25,Keyboard,4,58413
C184,5170,2025-07-26,Laptop,4,65471
C182,5171,2025-07-28,Tablet,4,28603
C138,5172,2025-07-29,Laptop,3,69877
C128,5173,2025-07-30,Mouse,1,56793
C188,5174,2025-07-31,Mobile,4,78932
C113,5175,2025-08-02,Keyboard,2,59576
C185,5176,2025-08-03,Tablet,4,7805
C162,5177,2025-08-04,Mouse,3,64694
C122,5178,2025-08-05,Monitor,3,61030
C149,5179,2025-08-06,Printer,4,2690
C128,5180,2025-08-08,Tablet,2,3978
C170,5181,2025-08-09,Laptop,2,61612
C128,5182,2025-08-10,Mobile,2,19923
C188,5183,2025-08-11,Mobile,2,42954
C129,5184,2025-08-13,Laptop,3,76670
C115,5185,2025-08-14,Keyboard,1,54465
C149,5186,2025-08-15,Keyboard,4,79800
C134,5187,2025-08-16,Mouse,2,51777
C121,5188,2025-08-17,Tablet,3,75186
C102,5189,2025-08-19,Laptop,2,79841
C198,5190,2025-08-20,Keyboard,4,67558
C148,5191,2025-08-21,Mouse,4,75342
C123,5192,2025-08-22,Keyboard,4,39741
C178,5193,2025-08-23,Mobile,2,41639
C200,5194,2025-08-25,Laptop,4,65647
C127,5195,2025-08-26,Mouse,1,71955
C200,5196,2025-08-27,Mobile,1,25566
C112,5197,2025-08-28,Mouse,4,42517
C141,5198,2025-08-30,Printer,1,5358
C121,5199,2025-08-31,Printer,3,67997
C189,5200,2025-09-01,Keyboard,2,22817
C114,5201,2025-09-02,Tablet,4,24764
C125,5202,2025-09-03,Mobile,1,22587
C128,5203,2025-09-05,Mobile,1,79665
C142,5204,2025-09-06,Tablet,4,41331
C169,5205,2025-09-07,Tablet,4,25386
C117,5206,2025-09-08,Tablet,4,23183
C110,5207,2025-09-10,Laptop,2,64480
C176,5208,2025-09-11,Mouse,2,41381
C150,5209,2025-09-12,Printer,1,19440
C101,5210,2025-09-13,Mouse,4,36960
C143,5211,2025-09-14,Mobile,3,34309
C183,5212,2025-09-16,Printer,1,72870
C116,5213,2025-09-17,Printer,3,53391
C158,5214,2025-09-18,Mobile,1,7055
C141,5215,2025-09-19,Laptop,4,7561
C156,5216,2025-09-20,Mouse,3,47888
C112,5217,2025-09-22,Tablet,1,37545
C111,5218,2025-09-23,Printer,4,13657
C146,5219,2025-09-24,Keyboard,1,11333
C155,5220,2025-09-25,Laptop,3,63725
C153,5221,2025-09-27,Laptop,1,23329
C120,5222,2025-09-28,Tablet,4,3487
C139,5223,2025-09-29,Tablet,1,13629
C156,5224,2025-09-30,Keyboard,4,39814
C153,5225,2025-10-01,Tablet,3,19695
C158,5226,2025-10-03,Keyboard,2,36116
C128,5227,2025-10-04,Monitor,4,35248
C200,5228,2025-10-05,Printer,1,52449
C151,5229,2025-10-06,Mobile,4,62128
C185,5230,2025-10-08,Keyboard,4,5035
C105,5231,2025-10-09,Keyboard,3,7940
C124,5232,2025-10-10,Mouse,2,20147
C136,5233,2025-10-11,Mobile,3,22711
C121,5234,2025-10-12,Mobile,2,39415
C178,5235,2025-10-14,Monitor,3,51722
C149,5236,2025-10-15,Mouse,2,10075
C136,5237,2025-10-16,Mobile,2,53051
C133,5238,2025-10-17,Printer,3,18726
C162,5239,2025-10-18,Laptop,1,64226
C131,5240,2025-10-20,Mobile,2,42976
C192,5241,2025-10-21,Printer,2,60130
C158,5242,2025-10-22,Mouse,4,66891
C145,5243,2025-10-23,Mobile,2,7271
C122,5244,2025-10-25,Monitor,1,9064
C117,5245,2025-10-26,Tablet,3,14286
C135,5246,2025-10-27,Laptop,4,72939
C166,5247,2025-10-28,Mobile,1,62014
C103,5248,2025-10-29,Tablet,4,70629
C142,5249,2025-10-31,Printer,3,51251
C112,5250,2025-11-01,Monitor,4,40440
C158,5251,2025-11-02,Mouse,3,64942
C105,5252,2025-11-03,Tablet,1,24427
C127,5253,2025-11-05,Monitor,2,10880
C193,5254,2025-11-06,Printer,3,51744
C138,5255,2025-11-07,Laptop,4,38360
C150,5256,2025-11-08,Mouse,4,11124
C106,5257,2025-11-09,Monitor,2,54006
C104,5258,2025-11-11,Laptop,1,51033
C199,5259,2025-11-12,Mouse,1,69398
C163,5260,2025-11-13,Mobile,2,14947
C131,5261,2025-11-14,Keyboard,4,30376
C110,5262,2025-11-15,Printer,1,63320
C158,5263,2025-11-17,Keyboard,4,46276
C147,5264,2025-11-18,Keyboard,1,9736
C136,5265,2025-11-19,Tablet,4,9174
C119,5266,2025-11-20,Mouse,4,67428
C105,5267,2025-11-22,Monitor,1,22947
C128,5268,2025-11-23,Laptop,4,45381
C148,5269,2025-11-24,Monitor,4,59644
C151,5270,2025-11-25,Mobile,1,68241
C145,5271,2025-11-26,Tablet,1,20305
C182,5272,2025-11-28,Tablet,4,74344
C116,5273,2025-11-29,Mobile,1,8443
C120,5274,2025-11-30,Tablet,4,74564
C132,5275,2025-12-01,Printer,4,16271
C139,5276,2025-12-03,Mouse,2,50838
C167,5277,2025-12-04,Monitor,4,55376
C185,5278,2025-12-05,Mouse,1,25841
C121,5279,2025-12-06,Laptop,4,38966
C157,5280,2025-12-07,Mouse,3,61179
C155,5281,2025-12-09,Printer,1,78816
C139,5282,2025-12-10,Monitor,3,68980
C117,5283,2025-12-11,Laptop,2,6297
C165,5284,2025-12-12,Mobile,1,37343
C155,5285,2025-12-13,Tablet,2,78021
C132,5286,2025-12-15,Mouse,4,30010
C180,5287,2025-12-16,Mobile,1,33259
C160,5288,2025-12-17,Laptop,3,69573
C192,5289,2025-12-18,Monitor,2,6001
C142,5290,2025-12-20,Printer,4,46122
C137,5291,2025-12-21,Mouse,1,32447
C196,5292,2025-12-22,Laptop,3,29631
C145,5293,2025-12-23,Laptop,1,63008
C118,5294,2025-12-24,Keyboard,4,8031
C124,5295,2025-12-26,Mouse,3,30454
C121,5296,2025-12-27,Monitor,3,79519
C128,5297,2025-12-28,Monitor,4,54622
C173,5298,2025-12-29,Mobile,4,42601
C166,5299,2025-12-31,Keyboard,2,10194
